#OTTR,prefix,,,
,http://nf-osi.github.com/terms#,,,
obo,http://purl.obolibrary.org/obo/,,,
rdf,http://www.w3.org/1999/02/22-rdf-syntax-ns#,,,
rdfs,http://www.w3.org/2000/01/rdf-schema#,,,
dct,http://purl.org/dc/terms/,,,
prov,http://www.w3.org/ns/prov#,,,
pav,http://purl.org/pav/,,,
dcat,http://www.w3.org/ns/dcat#,,,
pubmed,https://pubmed.ncbi.nlm.nih.gov/,,,
doi,https://doi.org/,,,
#OTTR,end,,,
#OTTR,template,http://nf-osi.github.com/templates/0.1/property,,
1,2,3,4,
iri,subPropertyOf,range,comment,
assayParameterAnnotation,assayAnnotation,,,
assayType,assayAnnotation,Assay,The technology used to generate the data in this file,
drugScreenType,assayAnnotation,,String describing general class of drug screen,
platform,assayAnnotation,Platform,"A sequencing platform, microscope, spectroscope/plate reader, or other platform for collecting data. ",
assayTarget,assayparameterAnnotation,,The HUGO gene symbol that represents the target analyte assayed.,
libraryPrep,assayparameterAnnotation,Library_Prep,The general strategy by which the library was prepared,
libraryPreparationMethod,assayparameterAnnotation,Library_Preparation_Method,Method by which library was prepared,
proteinExtractSource,assayparameterAnnotation,,Source of the extracted protein used in the experiment,
readPair,assayparameterAnnotation,Read_Pair,The read of origin,
readPairOrientation,assayparameterAnnotation,Read_Pair_Orientation,The relative orientation of the reads in a paired-end protocol,
readStrandOrigin,assayparameterAnnotation,Read_Strand_Origin,The strand from which the read originates in a strand-specific protocol,
referenceSequence,assayparameterAnnotation,,Syntactic sequences that has a role as reference of an annotation.,
referenceSet,assayparameterAnnotation,,"A set of references (e.g., canonical assembled contigs) which defines a common coordinate space for comparing reference-aligned experimental data.",
reporterGene,assayparameterAnnotation,,"A biological material (clone, oligo, etc.) on an array which will report on some biosequence or biosequences.",
reporterSubstance,assayparameterAnnotation,,A gene which produces an easily assayed phenotype. Often used for expression studies of heterologous promoters.,
runType,assayparameterAnnotation,Run_Type,Is the sequencing run single or paired end?,
isStranded,assayparameterAnnotation,,Whether or not the library is stranded. (Note: TRUE = Yes; FALSE = No),
nucleicAcidSource,assayparameterAnnotation,Nucleic_Acid_Source,Source of the extracted nucleic acid used in the experiment,
biosampleIndividualAnnotation,biosampleAnnotation,,,
biosampleSpecimenAnnotation,biosampleAnnotation,,,
diagnosis,biosampleIndividualAnnotation,Diagnosis,A diagnosis is the result of a medical investigation to identify a disorder from its signs and symptoms.,Currently a single NF diagnosis allowed; in the future multiple diagnoses may be allowed for comorbidities.
genotypeAnnotation,biosampleIndividualAnnotation,,,
individualID,biosampleIndividualAnnotation,,A unique identifier (non-PII) that represents the individual from which the data came. This could be a patient or animal ID.,"Typically annotated with a single ID, but many allowed for, e.g. a clinical dataset that contains endpoint data for an entire cohort."
individualIdSource,biosampleIndividualAnnotation,,Database or repository to which individual ID maps,
